"FPR","LASSO (AUC=0.80)","SVM (AUC=0.74)","BLR (AUC=0.73)","GAM (AUC=0.75)","RF (AUC=0.73)","GBM (AUC=0.71)","MLP (AUC=0.73)"
0,0,0,0,0,0,0.000961538461538462,0.000961538461538462
0.0101010101010101,0.153846153846154,0.0108197358197358,0.140423465423466,0.0403846153846154,0.0897241647241644,0.106400543900544,0.0865384615384615
0.0202020202020202,0.230769230769231,0.0173076923076923,0.166355866355866,0.0972659285159283,0.149708624708624,0.162441724941724,0.164724164724164
0.0303030303030303,0.282963115316057,0.0397144522144522,0.180769230769231,0.157604895104893,0.190850815850816,0.215384615384615,0.223076923076923
0.0404040404040404,0.328846153846154,0.0519327894327895,0.196212121212121,0.201923076923077,0.234586247086247,0.248076923076923,0.265384615384615
0.0505050505050505,0.376923076923077,0.0663947163947163,0.230312742812743,0.253846153846154,0.30189393939394,0.278846153846154,0.309615384615385
0.0606060606060606,0.419230769230769,0.0996212121212121,0.268356643356643,0.292191142191142,0.318249805749806,0.298076923076923,0.342307692307692
0.0707070707070707,0.45,0.148368298368298,0.275291375291375,0.319230769230769,0.359226884226884,0.309615384615385,0.376923076923077
0.0808080808080808,0.490384615384615,0.179351204351204,0.294230769230769,0.344230769230769,0.393790468790469,0.340384615384615,0.405769230769231
0.0909090909090909,0.506503496503496,0.27534965034965,0.321503496503496,0.369230769230769,0.407117882117882,0.363461538461538,0.421153846153846
0.101010101010101,0.523620823620824,0.316394716394716,0.366394716394716,0.390384615384615,0.436798143377091,0.380769230769231,0.436538461538462
0.111111111111111,0.548076923076923,0.390705128205128,0.394337606837607,0.417307692307692,0.449916904083571,0.398076923076923,0.45
0.121212121212121,0.582459207459208,0.467307692307692,0.41544289044289,0.432692307692308,0.461650528958221,0.407692307692308,0.457692307692308
0.131313131313131,0.590384615384615,0.474310411810412,0.428972416472417,0.447183372183373,0.475785499222999,0.428846153846154,0.475
0.141414141414141,0.601923076923077,0.513014763014763,0.440967365967366,0.478846153846154,0.488960761460762,0.444230769230769,0.488461538461538
0.151515151515152,0.607850870060172,0.523076923076923,0.445745920745921,0.498004079254079,0.499791013584117,0.451923076923077,0.496153846153846
0.161616161616162,0.615384615384615,0.532808857808858,0.458770396270396,0.513947163947164,0.507024255937299,0.461538461538462,0.509615384615385
0.171717171717172,0.623076923076923,0.541792929292929,0.465666278166278,0.534615384615385,0.521275021275021,0.476923076923077,0.526923076923077
0.181818181818182,0.629626768580257,0.55,0.475087412587413,0.545979020979021,0.538326189939093,0.486538461538462,0.540384615384615
0.191919191919192,0.634615384615385,0.563073038073038,0.481536519036519,0.557692307692308,0.546710696710697,0.501923076923077,0.553846153846154
0.202020202020202,0.644230769230769,0.57024087024087,0.494327894327894,0.571153846153846,0.555769230769231,0.513461538461538,0.561538461538462
0.212121212121212,0.651923076923077,0.574912587412587,0.514714452214452,0.584615384615385,0.561719420929947,0.517307692307692,0.567307692307692
0.222222222222222,0.663461538461538,0.579380341880342,0.516880341880342,0.601923076923077,0.573545364891519,0.522542735042735,0.573076923076923
0.232323232323232,0.679040404040404,0.584615384615385,0.526738539238539,0.615384615384615,0.580769230769231,0.534615384615385,0.588461538461538
0.242424242424242,0.692307692307692,0.595483682983683,0.539831002331002,0.623076923076923,0.588069506251324,0.548805361305362,0.596153846153846
0.252525252525253,0.7,0.608595571095571,0.554632867132867,0.630769230769231,0.597063714063714,0.557692307692308,0.6
0.262626262626263,0.701923076923077,0.619900932400933,0.594900932400932,0.640384615384615,0.608092234562823,0.565384615384615,0.612567987567988
0.272727272727273,0.707692307692308,0.623863636363636,0.617395104895105,0.659615384615385,0.612707604895105,0.576923076923077,0.625
0.282828282828283,0.721153846153846,0.631381118881119,0.628846153846154,0.663461538461538,0.627101991575676,0.582692307692308,0.630769230769231
0.292929292929293,0.730769230769231,0.647426184926185,0.655089355089355,0.671153846153846,0.632455160580161,0.590384615384615,0.638461538461538
0.303030303030303,0.738461538461539,0.659615384615385,0.671445221445221,0.673076923076923,0.645903479236813,0.601923076923077,0.642307692307692
0.313131313131313,0.740384615384615,0.665384615384615,0.683323620823621,0.678846153846154,0.658348441681775,0.607692307692308,0.65
0.323232323232323,0.748076923076923,0.668502331002331,0.693424630924631,0.684615384615385,0.668590332226696,0.616355866355867,0.667307692307692
0.333333333333333,0.755769230769231,0.676923076923077,0.7,0.690384615384615,0.676923076923077,0.627564102564103,0.673076923076923
0.343434343434343,0.765384615384615,0.692307692307692,0.704972804972805,0.696153846153846,0.687952468986952,0.638461538461538,0.676923076923077
0.353535353535354,0.77209595959596,0.693113830613831,0.720532245532246,0.701923076923077,0.695715843296489,0.646153846153846,0.680769230769231
0.363636363636364,0.784615384615385,0.696153846153846,0.727185314685315,0.710227272727272,0.70900895979021,0.657692307692308,0.688461538461538
0.373737373737374,0.792307692307692,0.698407148407148,0.737859362859363,0.721153846153846,0.71400308445763,0.665384615384615,0.692307692307692
0.383838383838384,0.794230769230769,0.705769230769231,0.748076923076923,0.726923076923077,0.717307692307692,0.675,0.698076923076923
0.393939393939394,0.803846153846154,0.72004662004662,0.751777389277389,0.736538461538462,0.721720409220409,0.678467365967367,0.705390442890444
0.404040404040404,0.807692307692308,0.732983682983683,0.755001942501943,0.742307692307692,0.731497946497946,0.684615384615385,0.709615384615385
0.414141414141414,0.813461538461538,0.74264763014763,0.758032245532246,0.748076923076923,0.736538461538462,0.696153846153846,0.719230769230769
0.424242424242424,0.817307692307692,0.747319347319347,0.763286713286713,0.751923076923077,0.740145315677231,0.703846153846154,0.723076923076923
0.434343434343434,0.825,0.756458818958819,0.769094794094794,0.755769230769231,0.747981677820388,0.711538461538462,0.728846153846154
0.444444444444444,0.832692307692308,0.75982905982906,0.775213675213675,0.761538461538461,0.752679843304843,0.715384615384615,0.734508547008548
0.454545454545455,0.836538461538462,0.770541958041958,0.776923076923077,0.767307692307692,0.759833916083916,0.723076923076923,0.749562937062938
0.464646464646465,0.842307692307692,0.773076923076923,0.778846153846154,0.776923076923077,0.768199477290386,0.728846153846154,0.755769230769231
0.474747474747475,0.846382899507899,0.784615384615385,0.778846153846154,0.784615384615385,0.775,0.740384615384615,0.759615384615385
0.484848484848485,0.851923076923077,0.784731934731935,0.792307692307692,0.790384615384615,0.777039627039627,0.744230769230769,0.761538461538461
0.494949494949495,0.855769230769231,0.794706682206682,0.798076923076923,0.792307692307692,0.782692307692308,0.746153846153846,0.769230769230769
0.505050505050505,0.857692307692308,0.798076923076923,0.798076923076923,0.796153846153846,0.783645156013577,0.757692307692308,0.771153846153846
